Assists per Game,Blocks per Game,Full Name,GP per Year,Last Year,MVP,Offensive Player,Points per Game,Rebounds per Game,Starting Year,Steals per Game,Year Inducted,Years Retired,Years to Induct,playerID,pos
2.5311004784688995,0.7631578947368421,Julius Shareef Abdur-Rahim,69.66666666666667,2007,0,1,18.041866028708135,7.497607655502392,1996,0.9832535885167464,,4.0,,abdursh01,F
2.587750294464076,0.4628975265017668,Nelison Anderson,65.30769230769229,2001,0,1,14.338044758539462,5.067137809187278,1989,1.3969375736160188,,10.0,,anderni01,F-G
1.355611601513241,0.23581336696090796,Shandon Rodriguez Anderson,79.3,2005,0,0,7.170239596469106,3.081967213114754,1996,0.7402269861286255,,6.0,,andersh01,F-G
3.761350407450524,0.11292200232828872,Gregory Carleton Anthony,78.0909090909091,2001,0,0,6.928987194412107,1.7939464493597206,1991,1.1280558789289872,,10.0,,anthogr01,G
1.5417439703153988,0.3070500927643785,Stacey Orlando Augmon,71.86666666666666,2005,0,0,7.840445269016698,3.1493506493506493,1991,0.9554730983302412,,6.0,,augmost01,G-F
3.3942931258106355,0.08819714656290532,Travis Eric Best,77.1,2004,0,0,7.546044098573282,1.7833981841763944,1995,0.9156939040207522,,7.0,,besttr01,G
6.711558854718982,0.34358430540827145,Daron Oshay Blaylock,72.53846153846153,2001,0,1,13.500530222693529,4.162248144220571,1989,2.323435843054083,,10.0,,blaylmo01,G
0.6662857142857143,2.4754285714285715,Shawn Paul Bradley,72.91666666666667,2004,0,0,7.862857142857143,6.1885714285714295,1993,0.616,,7.0,,bradlsh01,C
5.997375328083988,0.3083989501312336,Thomas Terrell Brandon,69.27272727272727,2001,0,1,13.637795275590554,3.0131233595800526,1991,1.5393700787401574,,10.0,,brandte01,G
1.4761506276150629,1.003347280334728,Collier Brown,79.66666666666667,2007,0,0,8.892887029288703,7.622594142259414,1993,0.8192468619246862,,4.0,,brownpj01,C-F
0.7383059418457648,0.190897597977244,Judson Donald Buechler,65.91666666666667,2001,0,0,3.171934260429836,1.7041719342604298,1990,0.4235145385587864,,10.0,,buechju01,F-G
1.1277150304083403,1.5108601216333624,Elden Jerome Campbell,76.73333333333333,2004,0,0,10.158992180712424,5.748045178105996,1990,0.6542137271937446,,7.0,,campbel01,F-C
4.807817589576548,0.09446254071661238,Chris Childs,68.22222222222223,2002,0,0,6.882736156351792,2.480456026058632,1994,0.8990228013029316,,9.0,,childch01,G
1.7336860670194003,0.21604938271604934,Wardell Stephen Curry,70.875,2001,0,0,11.472663139329805,2.3844797178130506,1986,0.9038800705467372,,10.0,,curryde01,G
1.104417670682731,0.9949799196787148,Antonio Lee Davis,76.61538461538461,2005,0,0,9.982931726907632,7.470883534136545,1993,0.4889558232931727,,6.0,,davisan01,F-C
0.8651502843216897,1.1340373679935012,Elliott Lydell Davis,76.9375,2006,0,0,7.8034118602761975,7.8765231519090175,1991,0.6255077173030057,,5.0,,davisda01,F
3.0494023904382472,1.4310756972111554,Vlade Divac,78.4375,2004,0,0,11.845418326693228,8.158565737051793,1989,1.1195219123505975,,7.0,,divacvl01,C
3.4107551487414187,0.10869565217391304,Howard Jonathan Eisley,72.83333333333333,2005,0,0,6.381006864988557,1.6636155606407323,1994,0.6590389016018307,,6.0,,eisleho01,G
1.2682926829268293,0.3048780487804878,Daniel John Willard Ferry,75.69230769230771,2002,0,0,6.795731707317072,2.7378048780487805,1990,0.4065040650406504,,9.0,,ferryda01,F
2.7809798270893373,0.36695485110470705,Ulrich Alexander Fox,80.07692307692308,2003,0,0,9.313160422670508,3.7175792507204615,1991,1.0096061479346785,,8.0,,foxri01,G-F
0.6545454545454545,0.5426573426573427,Chris Raymond Gatling,65.0,2001,0,0,10.31048951048951,5.342657342657343,1991,0.6615384615384615,,10.0,,gatlich01,F-C
3.0221550855991945,0.4451158106747231,Kendall Cedric Gill,66.2,2004,0,1,13.329305135951662,4.1309164149043305,1990,1.568982880161128,,7.0,,gillke01,G
1.476997578692494,0.12106537530266345,Gordan Giricek,68.83333333333333,2007,0,0,9.338983050847462,2.416464891041162,2002,0.5544794188861986,,4.0,,giricgo01,F
1.1867321867321867,0.7444717444717445,Brian Wade Grant,67.83333333333333,2005,0,0,10.328009828009828,7.412776412776412,1994,0.5945945945945946,,6.0,,grantbr01,F
2.198501872659176,0.9805243445692884,Horace Junior Grant,78.52941176470588,2003,0,0,11.163295880149812,8.164794007490638,1987,0.9842696629213484,,8.0,,grantho01,F-C
8.100758396533044,0.1495124593716143,Timothy Duane Hardaway,65.92857142857143,2002,0,1,17.677139761646806,3.2795232936078005,1989,1.6424702058504876,,9.0,,hardati01,G
1.3946135831381734,0.1018735362997658,Lucious H. Harris,71.16666666666667,2004,0,0,7.236533957845433,2.34192037470726,1993,0.6873536299765808,,7.0,,harrilu01,G
2.159881569207994,0.932642487046632,Robert Keith Horry,84.4375,2007,0,0,7.14581791265729,4.907475943745374,1992,1.0614359733530718,,4.0,,horryro01,F
2.3603104212860306,0.16518847006651885,Allan Wade Houston,75.16666666666667,2004,0,1,17.477827050997778,2.902439024390244,1993,0.6751662971175166,,7.0,,houstal01,G
3.127545551982851,0.2165058949624866,James Arthur Jackson,66.64285714285714,2005,0,1,14.108252947481244,4.657020364415863,1992,0.8113612004287245,,6.0,,jacksji01,G
7.875262789067974,0.08759635599159075,Mark A. Jackson,83.94117647058823,2003,0,0,9.582340574632097,3.812193412754029,1987,1.2186405045550106,,8.0,,jacksma01,G
