playerID,Total GP,Total Points,Starting Year,Last Year,Full Name,Year Inducted,GP per Year,Minutes per Game,Points per Game,O. Rebounds per Game,D. Rebounds per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turnovers per Game,PF per Game,Years Retired,Hall of Fame
giricgo01,589,5757,2003,2008,Gordan Giricek,0.0,98.16666666666669,23.50424448217317,9.774193548387096,0.4584040747028862,2.089983022071307,2.548387096774193,1.536502546689304,0.601018675721562,0.12563667232597622,1.3870967741935485,1.9252971137521224,7,True
iversal01,1064,27457,1997,2010,Allen Ezail Iverson,0.0,76.0,40.69830827067669,25.805451127819552,0.7650375939849624,2.843045112781955,3.608082706766917,6.097744360902254,2.079887218045113,0.17387218045112782,3.5150375939849625,1.8853383458646615,5,True
jacksji01,1201,16594,1993,2006,James Arthur Jackson,0.0,85.78571428571429,32.58368026644463,13.816819317235634,1.2897585345545381,3.316402997502081,4.6061615320566185,3.2714404662781016,0.8251457119067444,0.2073272273105745,2.4396336386344712,2.2439633638634477,9,True
onealsh01,1268,29428,1993,2011,Shaquille Rashaun O'Neal,0.0,66.73684210526315,34.436908517350155,23.20820189274448,3.4503154574132493,7.317034700315458,10.767350157728707,2.4597791798107256,0.6080441640378549,2.22397476340694,2.753154574132492,3.4495268138801265,4,True
roseja01,1144,16825,1995,2007,Jalen Rose,0.0,88.0,31.082167832167837,14.707167832167833,0.5209790209790209,3.0131118881118883,3.5340909090909087,3.8391608391608387,0.7762237762237763,0.34527972027972026,2.2954545454545454,2.6215034965034967,8,True
thornal01,442,4855,2008,2011,Al Thornton,0.0,110.5,26.552036199095024,10.9841628959276,1.2760180995475112,2.660633484162896,3.936651583710407,1.1425339366515836,0.5995475113122172,0.4502262443438914,1.334841628959276,2.5339366515837103,4,True
walkean02,970,17120,1997,2008,Antoine Devon Walker,0.0,80.83333333333333,35.552577319587634,17.64948453608248,2.1402061855670103,5.680412371134021,7.820618556701031,3.5412371134020617,1.2103092783505154,0.5432989690721649,2.842268041237113,2.8175257731958765,7,True
