playerID,Full Name,Points per Game,O. Rebounds per Game,D. Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,PF per Game,Offensive Player
abdulka01,Kareem Abdul-Jabbar,24.56816917084029,1.9365609348914856,5.9360044518642185,3.5765164162493046,0.7506956037840846,2.0395102949360044,3.0294936004451865,1
archina01,Nathaniel Archibald,18.57854821235103,0.38894907908992415,1.1668472372697725,7.347778981581799,0.8158179848320694,0.08992416034669556,2.2968580715059588,0
arizipa01,Paul Joseph Arizin,22.90288713910761,0.0,0.0,2.353018372703412,0.0,0.0,3.8595800524934383,1
barklch01,Charles Wade Barkley,22.232441471571907,3.9882943143812715,7.824414715719063,3.9272575250836117,1.5392976588628762,0.8327759197324415,3.0903010033444818,1
barryri01,Richard Francis Dennis Barry,25.02133333333333,0.9493333333333334,3.399111111111111,4.807111111111111,1.0755555555555556,0.2737777777777778,3.002666666666667,1
bayloel01,Elgin Gay Baylor,27.318367346938768,0.0,0.0,4.2765306122448985,0.0,0.0,3.0928571428571434,1
bellawa01,Walter Jones Bellamy,20.01010101010101,0.24242424242424246,0.4416896235078053,2.4609733700642797,0.04775022956841138,0.0440771349862259,3.3939393939393936,1
bingda01,David Bing,20.175965665236053,0.4678111587982833,0.8412017167381974,5.9334763948497855,0.5343347639484979,0.09978540772532188,2.8873390557939915,1
birdla01,Larry Joe Bird,24.211121583411874,1.9952874646559848,8.049010367577758,6.36852026390198,1.7455230914231856,0.8482563619227145,2.5871819038642796,1
bradlbi01,William Warren Bradley,12.471923536439665,0.25089605734767023,0.7980884109916367,3.340501792114696,0.26045400238948624,0.08124253285543608,3.197132616487455,0
cervial01,Alfred Nicholas Cervi,9.97085201793722,0.0,0.0,1.6905829596412556,0.0,0.0,2.7062780269058297,0
chambwi01,Wilton Norman Chamberlain,29.067219917012448,0.0,0.0,4.411618257261411,0.0,0.0,2.0556016597510367,1
cousybo01,Robert Joseph Cousy,18.371732817037753,0.0,0.0,7.639883833494675,0.0,0.0,2.4743465634075505,0
cowenda01,David William Cowens,17.777777777777782,2.125146198830409,6.778947368421052,3.792982456140351,0.791812865497076,0.6362573099415205,3.880701754385965,1
cunnibi01,William John Cunningham,21.08131067961165,0.6359223300970874,2.245145631067961,4.243932038834951,0.4781553398058253,0.08009708737864077,3.7050970873786406,1
danieme01,Melvin Joe Daniels,18.287433155080212,4.090909090909091,9.506684491978607,1.7486631016042782,0.1483957219251337,0.5106951871657754,3.6657754010695185,1
dantlad01,Adrian Delano Dantley,24.06128404669261,2.291828793774319,3.398832684824902,2.9173151750972766,0.985408560311284,0.1517509727626459,2.6634241245136185,1
daviebo01,Robert Edris Davies,13.638364779874214,0.0,0.0,3.7924528301886786,0.0,0.0,3.1069182389937113,0
debusda01,David Albert DeBusschere,16.05458290422245,0.16374871266735325,0.7178166838311021,2.832131822863028,0.07621009268795056,0.044284243048403706,3.2214212152420187,0
drexlcl01,Clyde Austin Drexler,20.437043054427296,2.415922014622258,3.8302193338748975,5.699431356620633,2.0186839967506094,0.6718115353371243,3.0633631194151096,1
dumarjo01,Joe Dumars,16.064601769911505,0.6778761061946903,1.4991150442477876,4.534513274336283,0.8787610619469026,0.07876106194690266,1.8168141592920355,0
englial01,Alexander English,21.628865979381448,2.334655035685964,3.1443298969072164,3.6827914353687543,0.8834258524980174,0.6859635210150674,2.549563838223632,1
ervinju01,Julius Winfield Erving,24.16620111731844,2.9210893854748603,5.397346368715084,4.201815642458101,1.7870111731843576,1.5600558659217878,2.8198324022346366,1
ewingpa01,Patrick Aloysius Ewing,20.898638426626324,2.3366111951588504,7.528744326777611,1.8835098335854763,0.9515885022692888,2.4183055975794248,3.4462934947049924,1
fraziwa01,Walter Frazier,19.0718954248366,0.4651416122004357,1.7581699346405228,6.142701525054465,0.7766884531590414,0.07298474945533769,2.685185185185185,1
fulksjo01,Joseph Franklin Fulks,16.521153846153847,0.0,0.0,1.15,0.0,0.0,3.642307692307692,0
gallaha01,Harry Junior Gallatin,12.883378016085794,0.0,0.0,1.7533512064343164,0.0,0.0,3.111260053619303,0
gervige01,George Gervin,25.19055944055944,1.7657342657342658,3.6372377622377616,2.6555944055944054,1.19493006993007,0.986888111888112,3.0979020979020984,1
gilmoar01,Artis Gilmore,18.690692792162352,3.6172148355493348,8.622813156053184,2.2967109867039888,0.4954513645906228,2.3421973407977608,3.3974807557732682,1
golato01,Thomas Joseph Gola,11.265943012211668,0.0,0.0,4.2618724559023065,0.0,0.0,3.8697421981004063,0
goodrga01,Gail Charles Goodrich,18.56975697569757,0.414041404140414,0.594059405940594,4.624662466246624,0.4968496849684969,0.06570657065706571,2.784878487848785,0
greerha01,Harold Everett Greer,19.326194398682038,0.0,0.0,4.063426688632619,0.0,0.0,3.4695222405271826,0
hagancl01,Clifford Oldham Hagan,17.943254817987153,0.05032119914346895,0.062098501070663815,3.184154175588865,0.0,0.0,3.2130620985010707,0
havlijo01,John J. Havlicek,20.923023578363388,0.4778085991678225,1.1012482662968102,4.812066574202497,0.3717059639389737,0.09223300970873786,2.6407766990291264,1
hawkico01,Cornelius L. Hawkins,20.142473118279568,1.1841397849462365,2.4811827956989245,3.9422043010752685,0.33736559139784944,0.2029569892473118,3.0981182795698925,1
hayesel01,Elvin Ernest Hayes,21.091493924231592,2.225875625446748,5.533238027162259,1.8463187991422445,0.6869192280200143,1.424588992137241,3.267333809864189,1
heinsto01,Thomas William Heinsohn,18.798153034300796,0.0,0.0,2.0224274406332454,0.0,0.0,3.7875989445910285,0
