playerID,year,Starting Year,Last Year
abramjo01,1946,1946,1947
aubucch01,1946,1946,1946
bakerno01,1946,1946,1946
baltihe01,1946,1946,1946
barrjo01,1946,1946,1946
baumhfr01,1946,1945,1946
beckemo01,1946,1945,1947
beckemo01,1946,1945,1947
beckemo01,1946,1945,1947
beendha01,1946,1946,1948
biasaha01,1946,1946,1946
brighal01,1946,1946,1946
brindau01,1946,1946,1946
brownha01,1946,1946,1947
brownle01,1946,1946,1946
byrneto01,1946,1946,1950
bytzumi01,1946,1944,1946
callato01,1946,1946,1946
calveer01,1946,1946,1948
carlich01,1946,1946,1946
carlsdo01,1946,1946,1950
cluggbo01,1946,1946,1946
connoch01,1946,1945,1947
corleke01,1946,1946,1946
crislha01,1946,1946,1946
curear01,1946,1946,1946
dallmho01,1946,1946,1948
davisau01,1946,1946,1948
davisbi01,1946,1946,1947
dehnehe01,1946,1946,1947
dillebo01,1946,1940,1946
dollbo01,1946,1946,1949
duffybo01,1946,1946,1946
duffybo01,1946,1946,1946
eliasdo01,1946,1946,1946
endrene01,1946,1943,1946
fabeljo01,1946,1938,1946
faughbo01,1946,1946,1946
feeribo01,1946,1945,1949
fenlewa01,1946,1946,1946
fitzgbo01,1946,1945,1948
fitzgbo01,1946,1945,1948
fitzgdi01,1946,1946,1947
fleisje01,1946,1946,1952
frankna01,1946,1939,1946
freyfr01,1946,1946,1946
fucarfr01,1946,1946,1946
fulksjo01,1946,1946,1953
ganttbo01,1946,1946,1946
garfija01,1946,1945,1948
getchgo01,1946,1946,1946
gillege01,1946,1946,1946
gilmuch01,1946,1946,1950
goldfbe01,1946,1946,1946
goodwpo01,1946,1945,1947
gottlle01,1946,1946,1947
graywy01,1946,1946,1947
grimswo01,1946,1946,1946
gunthco01,1946,1946,1948
guokama01,1946,1946,1946
halbech01,1946,1946,1950
hankice01,1946,1946,1947
hermskl01,1946,1943,1952
hermskl01,1946,1943,1952
hertzso01,1946,1946,1950
hillhar01,1946,1946,1947
hirscme01,1946,1946,1946
hoefech01,1946,1946,1947
hoefech01,1946,1946,1947
hurlero01,1946,1945,1947
jacobfr01,1946,1946,1946
janisjo01,1946,1946,1947
jarosto01,1946,1946,1950
johnsha01,1946,1946,1946
jorgeno01,1946,1946,1952
jorgero01,1946,1946,1946
kaplora01,1946,1946,1947
kaplora01,1946,1946,1947
kappeto01,1946,1946,1946
kappeto01,1946,1946,1946
kasided01,1946,1946,1946
kautzwi01,1946,1939,1947
kelleke01,1946,1946,1947
kelleke01,1946,1946,1947
kellyje01,1946,1946,1947
kingto01,1946,1946,1946
knorele01,1946,1946,1949
kottmha01,1946,1946,1947
lalicpe01,1946,1942,1946
lefkoha01,1946,1946,1946
lewisgr01,1946,1946,1948
loganjo01,1946,1946,1950
lujacal01,1946,1946,1946
mahnkjo01,1946,1945,1952
mangifr01,1946,1946,1946
maravpr01,1946,1945,1946
martidi01,1946,1946,1947
martido01,1946,1946,1948
maughar01,1946,1946,1950
mccarho01,1946,1945,1946
mccarmi01,1946,1946,1949
mckinho01,1946,1946,1951
mearnge01,1946,1946,1947
melvied01,1946,1946,1946
miasest01,1946,1946,1952
mihalre01,1946,1946,1946
militna01,1946,1946,1946
militna01,1946,1946,1946
milleha01,1946,1946,1947
millewa01,1946,1937,1946
millsjo01,1946,1944,1946
mogusle01,1946,1945,1950
mogusle01,1946,1945,1950
morgeel01,1946,1946,1950
mullebo01,1946,1946,1946
mullebo01,1946,1946,1946
munroge01,1946,1946,1947
murphdi01,1946,1946,1946
murphdi01,1946,1946,1946
murphjo01,1946,1946,1946
murphjo01,1946,1946,1946
musian01,1946,1946,1948
negraal01,1946,1945,1946
norlajo01,1946,1946,1950
nostrge01,1946,1946,1949
nostrge01,1946,1946,1949
noszkst01,1946,1945,1948
ogradbu01,1946,1945,1948
oshiega01,1946,1946,1947
palmebu01,1946,1946,1948
parrado01,1946,1946,1946
passama01,1946,1946,1948
pastuge01,1946,1946,1946
pearcge01,1946,1946,1946
pearche01,1946,1946,1946
putnado01,1946,1946,1949
rensbro01,1946,1945,1946
riebeme01,1946,1943,1948
rosenha01,1946,1946,1946
rosenha01,1946,1946,1946
rosenpe01,1946,1946,1946
rotheir01,1946,1946,1948
rottnmi01,1946,1945,1947
rouxgi01,1946,1946,1948
rulloje01,1946,1946,1949
sadowed01,1946,1940,1949
sadowed01,1946,1940,1949
sailoke01,1946,1946,1950
scharbe01,1946,1946,1948
schecos01,1946,1946,1946
schoomi01,1946,1946,1950
schuldi01,1946,1942,1949
schuldi01,1946,1942,1949
scolafr01,1946,1946,1954
seminji01,1946,1946,1949
senesge01,1946,1946,1953
shabani01,1946,1946,1946
shannea01,1946,1946,1948
sheabo01,1946,1946,1946
shefffr01,1946,1946,1946
siewera01,1946,1946,1946
siewera01,1946,1946,1946
simmoco01,1946,1946,1955
simmojo01,1946,1946,1947
smawlbe01,1946,1946,1951
smithde01,1946,1946,1946
sovragi01,1946,1946,1946
spectar01,1946,1946,1949
