playerID,Total GP,Total Points,Starting Year,Last Year,Full Name,Year Inducted,GP per Year,Minutes per Game,Points per Game,O. Rebounds per Game,D. Rebounds per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turnovers per Game,PF per Game,Years Retired,Hall of Fame
walkean02,970,17120,1997,2008,Antoine Devon Walker,0,80.83333333,35.55257732,17.64948454,2.140206186,5.680412371,7.820618557,3.541237113,1.210309278,0.543298969,2.842268041,2.817525773,5,TRUE
roseja01,1144,16825,1995,2007,Jalen Rose,0,88,31.08216783,14.70716783,0.520979021,3.013111888,3.534090909,3.839160839,0.776223776,0.34527972,2.295454545,2.621503497,6,TRUE
jacksji01,1201,16594,1993,2006,James Arthur Jackson,0,85.78571429,32.58368027,13.81681932,1.289758535,3.316402998,4.606161532,3.271440466,0.825145712,0.207327227,2.439633639,2.243963364,7,TRUE
giricgo01,589,5757,2003,2008,Gordan Giricek,0,98.16666667,23.50424448,9.774193548,0.458404075,2.089983022,2.548387097,1.536502547,0.601018676,0.125636672,1.387096774,1.925297114,5,TRUE
